"Latitude (decimal degrees):	43.579"
"Longitude (decimal degrees):	1.503"
"Radiation database:	PVGIS-SARAH2"

"year		month		Kd"
"2005		Jan		0.51"
"2005		Feb		0.55"
"2005		Mar		0.42"
"2005		Apr		0.47"
"2005		May		0.46"
"2005		Jun		0.37"
"2005		Jul		0.39"
"2005		Aug		0.37"
"2005		Sep		0.43"
"2005		Oct		0.46"
"2005		Nov		0.42"
"2005		Dec		0.54"
"2006		Jan		0.58"
"2006		Feb		0.48"
"2006		Mar		0.44"
"2006		Apr		0.43"
"2006		May		0.41"
"2006		Jun		0.33"
"2006		Jul		0.35"
"2006		Aug		0.44"
"2006		Sep		0.39"
"2006		Oct		0.44"
"2006		Nov		0.42"
"2006		Dec		0.47"
"2007		Jan		0.54"
"2007		Feb		0.55"
"2007		Mar		0.52"
"2007		Apr		0.38"
"2007		May		0.49"
"2007		Jun		0.48"
"2007		Jul		0.43"
"2007		Aug		0.42"
"2007		Sep		0.35"
"2007		Oct		0.45"
"2007		Nov		0.47"
"2007		Dec		0.5"
"2008		Jan		0.53"
"2008		Feb		0.35"
"2008		Mar		0.61"
"2008		Apr		0.42"
"2008		May		0.46"
"2008		Jun		0.45"
"2008		Jul		0.37"
"2008		Aug		0.43"
"2008		Sep		0.37"
"2008		Oct		0.46"
"2008		Nov		0.65"
"2008		Dec		0.57"
"2009		Jan		0.59"
"2009		Feb		0.45"
"2009		Mar		0.38"
"2009		Apr		0.53"
"2009		May		0.44"
"2009		Jun		0.39"
"2009		Jul		0.41"
"2009		Aug		0.34"
"2009		Sep		0.36"
"2009		Oct		0.38"
"2009		Nov		0.52"
"2009		Dec		0.54"
"2010		Jan		0.56"
"2010		Feb		0.53"
"2010		Mar		0.43"
"2010		Apr		0.36"
"2010		May		0.48"
"2010		Jun		0.42"
"2010		Jul		0.39"
"2010		Aug		0.35"
"2010		Sep		0.4"
"2010		Oct		0.39"
"2010		Nov		0.59"
"2010		Dec		0.46"
"2011		Jan		0.44"
"2011		Feb		0.49"
"2011		Mar		0.43"
"2011		Apr		0.32"
"2011		May		0.37"
"2011		Jun		0.43"
"2011		Jul		0.45"
"2011		Aug		0.39"
"2011		Sep		0.35"
"2011		Oct		0.32"
"2011		Nov		0.45"
"2011		Dec		0.58"
"2012		Jan		0.56"
"2012		Feb		0.49"
"2012		Mar		0.33"
"2012		Apr		0.6"
"2012		May		0.39"
"2012		Jun		0.39"
"2012		Jul		0.37"
"2012		Aug		0.35"
"2012		Sep		0.4"
"2012		Oct		0.47"
"2012		Nov		0.5"
"2012		Dec		0.51"
"2013		Jan		0.61"
"2013		Feb		0.49"
"2013		Mar		0.47"
"2013		Apr		0.49"
"2013		May		0.56"
"2013		Jun		0.49"
"2013		Jul		0.31"
"2013		Aug		0.37"
"2013		Sep		0.43"
"2013		Oct		0.44"
"2013		Nov		0.61"
"2013		Dec		0.39"
"2014		Jan		0.55"
"2014		Feb		0.48"
"2014		Mar		0.38"
"2014		Apr		0.42"
"2014		May		0.48"
"2014		Jun		0.39"
"2014		Jul		0.49"
"2014		Aug		0.45"
"2014		Sep		0.35"
"2014		Oct		0.33"
"2014		Nov		0.47"
"2014		Dec		0.56"
"2015		Jan		0.51"
"2015		Feb		0.5"
"2015		Mar		0.53"
"2015		Apr		0.39"
"2015		May		0.48"
"2015		Jun		0.35"
"2015		Jul		0.36"
"2015		Aug		0.37"
"2015		Sep		0.41"
"2015		Oct		0.45"
"2015		Nov		0.45"
"2015		Dec		0.37"
"2016		Jan		0.58"
"2016		Feb		0.5"
"2016		Mar		0.51"
"2016		Apr		0.48"
"2016		May		0.48"
"2016		Jun		0.47"
"2016		Jul		0.35"
"2016		Aug		0.33"
"2016		Sep		0.34"
"2016		Oct		0.46"
"2016		Nov		0.57"
"2016		Dec		0.39"
"2017		Jan		0.51"
"2017		Feb		0.45"
"2017		Mar		0.44"
"2017		Apr		0.33"
"2017		May		0.4"
"2017		Jun		0.39"
"2017		Jul		0.48"
"2017		Aug		0.39"
"2017		Sep		0.45"
"2017		Oct		0.39"
"2017		Nov		0.47"
"2017		Dec		0.55"
"2018		Jan		0.63"
"2018		Feb		0.53"
"2018		Mar		0.51"
"2018		Apr		0.4"
"2018		May		0.51"
"2018		Jun		0.43"
"2018		Jul		0.32"
"2018		Aug		0.36"
"2018		Sep		0.36"
"2018		Oct		0.47"
"2018		Nov		0.47"
"2018		Dec		0.59"
"2019		Jan		0.61"
"2019		Feb		0.32"
"2019		Mar		0.35"
"2019		Apr		0.48"
"2019		May		0.43"
"2019		Jun		0.38"
"2019		Jul		0.35"
"2019		Aug		0.35"
"2019		Sep		0.4"
"2019		Oct		0.5"
"2019		Nov		0.55"
"2019		Dec		0.55"
"2020		Jan		0.49"
"2020		Feb		0.44"
"2020		Mar		0.41"
"2020		Apr		0.41"
"2020		May		0.33"
"2020		Jun		0.48"
"2020		Jul		0.35"
"2020		Aug		0.4"
"2020		Sep		0.4"
"2020		Oct		0.52"
"2020		Nov		0.4"
"2020		Dec		0.63"
